@relation sat-problems

@attribute domain {petri-net-alignment, termes, spider, grounded-strips-spider, snake, settlers, grounded-strips-settlers, organic-synthesis, nurikabe, organic-synthesis-split, grounded-strips-nurikabe, flashfill, grounded-strips-flashfill, data-network, caldera, grounded-strips-caldera, caldera-split, grounded-strips-caldera-split, agricola , '?'}
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute planner {mercury,siw,jasper,bfs-f,arvand,lamar,fd-autotune-1,fd-autotune-2,fdss-2,lama-2008,lama-2011,lpg,madagascar,madagascar-p,probe,yahsp2-mt}
@attribute class {True,False}

@data
petri-net-alignment,align,2,3,671,4,1,4,268,1069,0,1,2989,3755,0,3755,5005,0,973,0,269,0,940,1,404,1069,7761,269,268, 1149, 3627, 0.234117, 3.15666, 13.4833, 0.996283, 237, 4.27138, 14.2418, 267, 4.27138, 18.8152, 1209, 13.4833, 77.0103,1113, 13.4833, 83.0296, 237, 4.26766, 14.2428, 806, 9.34572, 48.8189, 1209, 11.9851, 73.2461, 806, 9.34572,48.8189,939, 2789, 6354, 0.438936, 0.33668, 1, 474, 3.69331, 0.0911166, 474, 3.69331, 0.0911166, 1364, 8.22117,0.182233, 1364,8.22117, 0.0911166,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5133,1,406,5133,520,3,524,417,403,798,87068,109.108,117,158,523,109.108,403,126.574,109.108,403,126.649,10,0,269,0,0,0,4,520,fdss-2, True
grounded-strips-caldera,grounded-strips-p2_hosts_trial_12,2,1,0,182,1,23,2,415,0,1,2525,445,0,445,1491,0,112,0,122,0,270,47,115,245,3699,76,2, 2213, 10766, 0.0343425, 4.86489, 141.658, 0.0263158, 75, 21.2895, 14.3626, 42, 21.2895, 10.5204, 1173, 141.658, 173.837,302, 103.803, 75.6839, 75, 1.43421, 9.33631, 302, 6.60526, 41.0212, 1173, 17.5132, 134.633, 302, 6.60526,41.0212,178, 604, 5379, 0.112289, 0.294702, 1, 64, 3.63482, 1.01573, 64, 3.63482, 1.01573, 192, 11.3151,3.07027, 192,11.3151, 1.01573,  1, /home/isabel/ipc2018/opt/caldera/p02.pddl, 137, 257, 5, 7, 1.400000, -2, 0.423358, 0.751860, 2, 2.000000, 0.000000, 0.000000, 0.000000, 2,699,1,16,699,7,1,5,7,5,21,58,2.7619,8,1,12,2.7619,9,2.44949,2.7619,14,3.16228,?,?,?,?,?,?,?,7,fdss-2, True
grounded-strips-caldera,grounded-strips-p3_hosts_trial_16,2,1,0,445,1,45,3,3187,0,1,9463,1248,0,1248,3681,0,303,0,171,0,411,72,206,580,8896,105,3, 4252, 28662, 0.0246943, 6.74083, 272.971, 0.0285714, 104, 29.9429, 20.2041, 59, 29.9429, 14.5195, 2732, 272.971, 358.71,952, 208.724, 173.256, 104, 1.87619, 11.8705, 952, 15.181, 102.715, 2732, 30.1905, 267.013, 952, 15.181,102.715,279, 1211, 9208, 0.131516, 0.230388, 1, 162, 5.11875, 1.30916, 162, 5.09018, 1.3011, 1253, 25.2993,11.4184, 1253,24.9564, 1.3011,  1, /home/isabel/ipc2018/opt/caldera/p08.pddl, 230, 2506, 9, 13, 1.444444, -4, 0.334783, 1.129105, 0, 0.000000, 0.000000, 1.462141, 0.511749, 58,5614,1,32,5614,15,2,18,13,9,49,192,3.91837,22,2,25,3.91837,24,4.79583,3.91837,27,6.16441,?,?,?,?,?,?,?,13,fdss-2, True
petri-net-alignment,align,2,3,669,4,1,4,268,1065,0,1,2977,3743,0,3743,4987,0,971,0,269,0,938,1,402,1065,7735,269,268, 1149, 3613, 0.234117, 3.14447, 13.4312, 0.996283, 240, 4.27138, 14.4255, 267, 4.27138, 18.7243, 1203, 13.4312, 76.6482,1109, 13.4312, 82.702, 240, 4.26766, 14.4264, 802, 9.30855, 48.5934, 1203, 11.9405, 72.904, 802, 9.30855,48.5934,937, 2780, 6332, 0.43904, 0.33705, 1, 475, 3.68401, 0.121489, 475, 3.68401, 0.121489, 1362, 8.19883,0.242978, 1362,8.19883, 0.121489,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5131,1,406,5131,518,3,522,413,401,796,86264,108.372,117,158,521,108.372,401,125.877,108.372,401,125.952,10,0,269,0,0,0,4,518,fdss-2, True
petri-net-alignment,align,2,3,512,4,1,4,268,751,0,1,2035,2801,0,2801,3574,0,814,0,269,0,781,1,245,751,5694,269,268, 1097, 2514, 0.245214, 2.2917, 9.34572, 0.996283, 209, 4.07807, 12.5522, 267, 4.07807, 18.1187, 732, 9.34572, 46.5569,795, 9.34572, 56.3578, 209, 4.07435, 12.5533, 488, 6.39033, 29.5494, 732, 8.43866, 44.2984, 488, 6.39033,29.5494,780, 1995, 4448, 0.448516, 0.390977, 1, 255, 2.80855, 0.0607444, 255, 2.80855, 0.0607444, 754, 6.15664,0.121489, 754,6.15664, 0.0607444,  1, /home/isabel/ipc2018/opt/petri-net-alignment/p09.pddl, 780, 751, 244, 363, 1.487705, -117, -0.150000, 4.191177, -2, 0.011194, 0.236315, 6.565920, 26.322235, 608636,4974,1,247,4974,361,3,365,258,244,639,35551,55.6354,117,158,364,55.6354,244,71.6589,55.6354,244,71.8192,10,0,269,0,0,0,4,361,fdss-2, True
petri-net-alignment,align,2,3,520,4,1,4,268,767,0,1,2083,2849,0,2849,3646,0,822,0,269,0,789,1,253,767,5798,269,268, 1118, 2570, 0.240608, 2.29875, 9.5539, 0.996283, 221, 4.15613, 13.2768, 267, 4.15613, 18.371, 756, 9.5539, 48.0931,811, 9.5539, 57.6861, 221, 4.15242, 13.2778, 504, 6.53903, 30.5147, 756, 8.6171, 45.7591, 504, 6.53903,30.5147,788, 2036, 4546, 0.447866, 0.387033, 1, 266, 2.85502, 0.0607444, 266, 2.85502, 0.0607444, 784, 6.26437,0.121489, 784,6.26437, 0.0607444,  1, /home/isabel/ipc2018/opt/petri-net-alignment/p04.pddl, 788, 767, 252, 371, 1.472222, -118, -0.149746, 4.203022, -1, 0.011194, 0.161227, 6.491534, 25.886566, 631744,4982,1,255,4982,369,3,373,271,252,647,37540,58.0216,117,158,372,58.0216,252,74.3303,58.0216,252,74.4916,10,0,269,0,0,0,4,369,fdss-2, True
agricola,opt12-6-6,3,19,90,33,2,279,1,22,0,1,258,95618,1815,97433,357080,0,103184,0,128,0,296,8,56,94898,1061743,123,1, 1780, 2047922, 0.0691011, 1150.52, 16649.8, 0.00813008, 85, 13.9024, 15.5874, 64, 13.9024, 12.0638, 348285, 16649.8, 49012.9,475245, 13190.7, 59865.6, 15, 0.121951, 1.347, 14, 0.113821, 1.2572, 30, 0.243902, 2.69399, 14, 0.113821,1.2572,286, 149235, 903345, 0.165203, 0.00191644, 1, 19434, 350.862, 0.223585, 19773, 348.115, 0.223585, 108918, 1491.73,0.491886, 111360,1482.03, 0.223585,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,2636,1,8,2924,39,1,40,37,36,81,838,10.3457,41,1,39,10.3457,39,12.083,10.3457,47,13.1909,?,?,?,?,?,?,?,39,fdss-2, True
petri-net-alignment,align,2,3,659,4,1,4,268,1045,0,1,2917,3683,0,3683,4897,0,961,0,269,0,928,1,392,1045,7605,269,268, 1126, 3543, 0.238899, 3.14654, 13.171, 0.996283, 223, 4.18587, 13.3954, 267, 4.18587, 18.5439, 1173, 13.171, 74.7364,1089, 13.171, 81.0236, 223, 4.18216, 13.3965, 782, 9.12268, 47.3966, 1173, 11.7175, 71.0871, 782, 9.12268,47.3966,927, 2729, 6210, 0.439452, 0.339685, 1, 464, 3.62639, 0.121489, 464, 3.62639, 0.121489, 1328, 8.06496,0.242978, 1328,8.06496, 0.121489,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5121,1,396,5121,508,3,512,403,391,786,82298,104.705,117,158,511,104.705,391,122.381,104.705,391,122.458,10,0,269,0,0,0,4,508,fdss-2, True
agricola,opt03-3-6,3,19,82,33,2,261,1,22,0,1,258,60055,1534,61589,223737,0,63815,0,101,0,239,8,53,59407,670519,95,1, 1133, 1304173, 0.0838482, 1151.08, 13728.1, 0.0105263, 69, 11.4842, 13.892, 48, 11.4842, 9.45779, 221650, 13728.1, 35805.5,317130, 10742.9, 44290.4, 10, 0.105263, 1.02056, 6, 0.0631579, 0.612339, 15, 0.157895, 1.53085, 6, 0.0631579,0.612339,227, 88812, 550377, 0.161366, 0.00255596, 1, 14723, 267.493, 0.152277, 14963, 264.94, 0.152277, 80395, 1225.89,0.304554, 82075,1216.39, 0.152277,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,316,1,8,368,28,1,25,25,24,54,344,6.37037,29,1,24,6.37037,24,7.14143,6.37037,32,8.48528,?,?,?,?,?,?,?,28,fdss-2, True
petri-net-alignment,align,2,3,503,4,1,4,268,733,0,1,1981,2747,0,2747,3493,0,805,0,269,0,772,1,236,733,5577,269,268, 1119, 2451, 0.240393, 2.19035, 9.11152, 0.996283, 223, 4.15985, 13.3987, 267, 4.15985, 18.3431, 705, 9.11152, 44.8289,777, 9.11152, 54.856, 223, 4.15613, 13.3997, 470, 6.22305, 28.4453, 705, 8.23792, 42.6555, 470, 6.22305,28.4453,771, 1951, 4342, 0.449332, 0.395182, 1, 241, 2.76022, 0.0911166, 241, 2.76022, 0.0911166, 717, 6.04334,0.182233, 717,6.04334, 0.0911166,  1, /home/isabel/ipc2018/opt/petri-net-alignment/p07.pddl, 771, 733, 235, 354, 1.506383, -117, -0.151751, 4.215536, -2, 0.011194, 0.236315, 6.739409, 27.050478, 582351,4965,1,240,4965,352,3,356,251,235,630,33392,53.0032,117,158,355,53.0032,235,68.6659,53.0032,235,68.8404,10,0,269,0,0,0,4,352,fdss-2, True
agricola,opt13-7-4,3,19,88,33,2,273,1,22,0,1,258,46103,1718,47821,171361,0,50553,0,133,0,293,6,39,45401,498275,128,1, 1914, 938029, 0.0668757, 490.088, 7328.35, 0.0078125, 87, 14.3594, 15.7553, 69, 14.3594, 12.456, 156112, 7328.35, 21350,206912, 5909.09, 26016.1, 17, 0.132812, 1.49672, 16, 0.125, 1.40868, 35, 0.273438, 3.08148, 16, 0.125,1.40868,283, 78088, 448980, 0.173923, 0.00362412, 1, 11664, 187.325, 0.175396, 11792, 185.282, 0.175396, 58432, 777.955,0.438489, 59328,770.891, 0.175396,?,?,?,?,?,?,?,?,?,?,?,?, ?, ?, ?, ?,5356,1,8,6188,44,1,45,41,40,90,1050,11.6667,45,1,44,11.6667,44,13.7477,11.6667,52,14.7986,?,?,?,?,?,?,?,44,fdss-2, True
