@relation 'sat-problems-weka.filters.unsupervised.attribute.Remove-R2,11,18,20,22,65,78-79,118-120,123-124-weka.filters.unsupervised.attribute.Remove-R74-75-weka.filters.unsupervised.attribute.Remove-R85'

@attribute domain {petri-net-alignment,termes,spider,grounded-strips-spider,snake,settlers,grounded-strips-settlers,organic-synthesis,nurikabe,organic-synthesis-split,grounded-strips-nurikabe,flashfill,grounded-strips-flashfill,data-network,caldera,grounded-strips-caldera,caldera-split,grounded-strips-caldera-split,agricola,'?'}
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute effect_conditions_simplified numeric
@attribute translator_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute Maximaleffectsblack numeric
@attribute Hred-black numeric

@data
petri-net-alignment,2,3,671,4,1,4,268,1069,1,2989,3755,0,3755,5005,973,269,940,1,404,1069,7761,269,268,1149,3627,0.234117,3.15666,13.4833,0.996283,237,4.27138,14.2418,267,4.27138,18.8152,1209,13.4833,77.0103,1113,13.4833,83.0296,237,4.26766,14.2428,806,9.34572,48.8189,1209,11.9851,73.2461,806,9.34572,48.8189,939,2789,6354,0.438936,0.33668,474,3.69331,0.091117,474,3.69331,0.091117,1364,8.22117,0.182233,1364,8.22117,0.091117,?,?,?,?,?,?,?,?,?,?,?,?,5133,406,5133,520,3,524,417,403,798,87068,109.108,117,158,523,109.108,403,126.574,109.108,403,126.649,10,0,269,4,520
grounded-strips-caldera,2,1,0,182,1,23,2,415,1,2525,445,0,445,1491,112,122,270,47,115,245,3699,76,2,2213,10766,0.034343,4.86489,141.658,0.026316,75,21.2895,14.3626,42,21.2895,10.5204,1173,141.658,173.837,302,103.803,75.6839,75,1.43421,9.33631,302,6.60526,41.0212,1173,17.5132,134.633,302,6.60526,41.0212,178,604,5379,0.112289,0.294702,64,3.63482,1.01573,64,3.63482,1.01573,192,11.3151,3.07027,192,11.3151,1.01573,137,257,1.4,-2,0.423358,0.75186,2,2,0,0,0,2,699,16,699,7,1,5,7,5,21,58,2.7619,8,1,12,2.7619,9,2.44949,2.7619,14,3.16228,?,?,?,?,7
grounded-strips-caldera,2,1,0,445,1,45,3,3187,1,9463,1248,0,1248,3681,303,171,411,72,206,580,8896,105,3,4252,28662,0.024694,6.74083,272.971,0.028571,104,29.9429,20.2041,59,29.9429,14.5195,2732,272.971,358.71,952,208.724,173.256,104,1.87619,11.8705,952,15.181,102.715,2732,30.1905,267.013,952,15.181,102.715,279,1211,9208,0.131516,0.230388,162,5.11875,1.30916,162,5.09018,1.3011,1253,25.2993,11.4184,1253,24.9564,1.3011,230,2506,1.444444,-4,0.334783,1.129105,0,0,0,1.462141,0.511749,58,5614,32,5614,15,2,18,13,9,49,192,3.91837,22,2,25,3.91837,24,4.79583,3.91837,27,6.16441,?,?,?,?,13
petri-net-alignment,2,3,669,4,1,4,268,1065,1,2977,3743,0,3743,4987,971,269,938,1,402,1065,7735,269,268,1149,3613,0.234117,3.14447,13.4312,0.996283,240,4.27138,14.4255,267,4.27138,18.7243,1203,13.4312,76.6482,1109,13.4312,82.702,240,4.26766,14.4264,802,9.30855,48.5934,1203,11.9405,72.904,802,9.30855,48.5934,937,2780,6332,0.43904,0.33705,475,3.68401,0.121489,475,3.68401,0.121489,1362,8.19883,0.242978,1362,8.19883,0.121489,?,?,?,?,?,?,?,?,?,?,?,?,5131,406,5131,518,3,522,413,401,796,86264,108.372,117,158,521,108.372,401,125.877,108.372,401,125.952,10,0,269,4,518
petri-net-alignment,2,3,512,4,1,4,268,751,1,2035,2801,0,2801,3574,814,269,781,1,245,751,5694,269,268,1097,2514,0.245214,2.2917,9.34572,0.996283,209,4.07807,12.5522,267,4.07807,18.1187,732,9.34572,46.5569,795,9.34572,56.3578,209,4.07435,12.5533,488,6.39033,29.5494,732,8.43866,44.2984,488,6.39033,29.5494,780,1995,4448,0.448516,0.390977,255,2.80855,0.060744,255,2.80855,0.060744,754,6.15664,0.121489,754,6.15664,0.060744,780,751,1.487705,-117,-0.15,4.191177,-2,0.011194,0.236315,6.56592,26.322235,608636,4974,247,4974,361,3,365,258,244,639,35551,55.6354,117,158,364,55.6354,244,71.6589,55.6354,244,71.8192,10,0,269,4,361
petri-net-alignment,2,3,520,4,1,4,268,767,1,2083,2849,0,2849,3646,822,269,789,1,253,767,5798,269,268,1118,2570,0.240608,2.29875,9.5539,0.996283,221,4.15613,13.2768,267,4.15613,18.371,756,9.5539,48.0931,811,9.5539,57.6861,221,4.15242,13.2778,504,6.53903,30.5147,756,8.6171,45.7591,504,6.53903,30.5147,788,2036,4546,0.447866,0.387033,266,2.85502,0.060744,266,2.85502,0.060744,784,6.26437,0.121489,784,6.26437,0.060744,788,767,1.472222,-118,-0.149746,4.203022,-1,0.011194,0.161227,6.491534,25.886566,631744,4982,255,4982,369,3,373,271,252,647,37540,58.0216,117,158,372,58.0216,252,74.3303,58.0216,252,74.4916,10,0,269,4,369
agricola,3,19,90,33,2,279,1,22,1,258,95618,1815,97433,357080,103184,128,296,8,56,94898,1061743,123,1,1780,2047922,0.069101,1150.52,16649.8,0.00813,85,13.9024,15.5874,64,13.9024,12.0638,348285,16649.8,49012.9,475245,13190.7,59865.6,15,0.121951,1.347,14,0.113821,1.2572,30,0.243902,2.69399,14,0.113821,1.2572,286,149235,903345,0.165203,0.001916,19434,350.862,0.223585,19773,348.115,0.223585,108918,1491.73,0.491886,111360,1482.03,0.223585,?,?,?,?,?,?,?,?,?,?,?,?,2636,8,2924,39,1,40,37,36,81,838,10.3457,41,1,39,10.3457,39,12.083,10.3457,47,13.1909,?,?,?,?,39
petri-net-alignment,2,3,659,4,1,4,268,1045,1,2917,3683,0,3683,4897,961,269,928,1,392,1045,7605,269,268,1126,3543,0.238899,3.14654,13.171,0.996283,223,4.18587,13.3954,267,4.18587,18.5439,1173,13.171,74.7364,1089,13.171,81.0236,223,4.18216,13.3965,782,9.12268,47.3966,1173,11.7175,71.0871,782,9.12268,47.3966,927,2729,6210,0.439452,0.339685,464,3.62639,0.121489,464,3.62639,0.121489,1328,8.06496,0.242978,1328,8.06496,0.121489,?,?,?,?,?,?,?,?,?,?,?,?,5121,396,5121,508,3,512,403,391,786,82298,104.705,117,158,511,104.705,391,122.381,104.705,391,122.458,10,0,269,4,508
agricola,3,19,82,33,2,261,1,22,1,258,60055,1534,61589,223737,63815,101,239,8,53,59407,670519,95,1,1133,1304173,0.083848,1151.08,13728.1,0.010526,69,11.4842,13.892,48,11.4842,9.45779,221650,13728.1,35805.5,317130,10742.9,44290.4,10,0.105263,1.02056,6,0.063158,0.612339,15,0.157895,1.53085,6,0.063158,0.612339,227,88812,550377,0.161366,0.002556,14723,267.493,0.152277,14963,264.94,0.152277,80395,1225.89,0.304554,82075,1216.39,0.152277,?,?,?,?,?,?,?,?,?,?,?,?,316,8,368,28,1,25,25,24,54,344,6.37037,29,1,24,6.37037,24,7.14143,6.37037,32,8.48528,?,?,?,?,28
petri-net-alignment,2,3,503,4,1,4,268,733,1,1981,2747,0,2747,3493,805,269,772,1,236,733,5577,269,268,1119,2451,0.240393,2.19035,9.11152,0.996283,223,4.15985,13.3987,267,4.15985,18.3431,705,9.11152,44.8289,777,9.11152,54.856,223,4.15613,13.3997,470,6.22305,28.4453,705,8.23792,42.6555,470,6.22305,28.4453,771,1951,4342,0.449332,0.395182,241,2.76022,0.091117,241,2.76022,0.091117,717,6.04334,0.182233,717,6.04334,0.091117,771,733,1.506383,-117,-0.151751,4.215536,-2,0.011194,0.236315,6.739409,27.050478,582351,4965,240,4965,352,3,356,251,235,630,33392,53.0032,117,158,355,53.0032,235,68.6659,53.0032,235,68.8404,10,0,269,4,352
agricola,3,19,88,33,2,273,1,22,1,258,46103,1718,47821,171361,50553,133,293,6,39,45401,498275,128,1,1914,938029,0.066876,490.088,7328.35,0.007813,87,14.3594,15.7553,69,14.3594,12.456,156112,7328.35,21350,206912,5909.09,26016.1,17,0.132812,1.49672,16,0.125,1.40868,35,0.273438,3.08148,16,0.125,1.40868,283,78088,448980,0.173923,0.003624,11664,187.325,0.175396,11792,185.282,0.175396,58432,777.955,0.438489,59328,770.891,0.175396,?,?,?,?,?,?,?,?,?,?,?,?,5356,8,6188,44,1,45,41,40,90,1050,11.6667,45,1,44,11.6667,44,13.7477,11.6667,52,14.7986,?,?,?,?,44
grounded-strips-caldera,2,1,0,182,1,23,2,415,1,2141,496,0,496,1503,112,125,276,47,115,243,3638,76,2,2226,10601,0.034142,4.76235,139.487,0.026316,75,21.1579,13.9859,42,21.1579,10.7716,1137,139.487,169.761,302,103.026,75.8575,75,1.43421,9.33631,302,6.63158,41.1457,1137,17.7237,131.439,302,6.63158,41.1457,178,658,6559,0.10032,0.270517,60,3.96815,1.01573,60,3.96815,1.01573,220,12.1808,3.04718,220,12.1808,1.01573,137,257,1.4,0,0.445255,0.853671,0,0,0,0,0,0,699,16,699,7,1,10,7,5,32,99,3.09375,13,1,18,3.09375,14,2.82843,3.09375,20,4.3589,?,?,?,?,7
agricola,3,19,94,33,2,287,1,22,1,258,113066,1949,115015,422772,123076,142,326,8,58,112310,1250277,137,1,2167,2397220,0.063221,1106.24,17498,0.007299,93,15.2847,16.8336,74,15.2847,12.9073,407711,17498,53951.8,539121,13978,65422.7,20,0.145985,1.70247,18,0.131387,1.53222,40,0.291971,3.40494,18,0.131387,1.53222,316,182320,1085159,0.168012,0.001733,23561,385.29,0.21203,23969,382.14,0.21203,126146,1597.41,0.508873,129002,1586.47,0.21203,?,?,?,?,?,?,?,?,?,?,?,?,10604,8,11756,47,1,50,45,44,99,1289,13.0202,49,1,49,13.0202,49,15.3948,13.0202,57,16.4012,?,?,?,?,47
grounded-strips-caldera,2,1,0,140,1,13,2,255,1,1677,381,0,381,1545,96,108,242,47,115,223,3917,72,2,2140,12893,0.033645,6.02477,179.069,0.027778,71,22.0833,14.709,38,22.0833,10.538,1235,179.069,203.005,368,131.319,101.491,71,1.45833,9.16203,278,7.58333,44.8713,1235,20.5139,146.889,278,7.58333,44.8713,170,670,7019,0.095455,0.253731,56,4.25342,0.948419,56,4.25342,0.948419,164,13.1792,2.75807,164,13.1792,0.948419,109,161,1.4,-1,0.385321,0.573229,0,0,0,1.144509,0,0,699,16,699,7,1,5,7,5,22,59,2.68182,9,1,12,2.68182,9,2.44949,2.68182,14,3.16228,?,?,?,?,7
agricola,3,19,92,33,2,282,1,22,1,258,78352,1867,80219,293186,85610,141,316,7,48,77615,858037,136,1,2140,1632230,0.063551,762.724,12001.7,0.007353,92,15.1324,16.6052,74,15.1324,12.9534,275769,12001.7,36534,350727,9637.05,44188.8,19,0.139706,1.62324,18,0.132353,1.5378,40,0.294118,3.41734,18,0.132353,1.5378,306,130327,761427,0.171162,0.002348,18362,282.889,0.212797,18617,280.012,0.212797,95048,1197.33,0.510713,96833,1187.44,0.212797,?,?,?,?,?,?,?,?,?,?,?,?,10476,8,10988,46,1,50,44,44,99,1291,13.0404,49,1,49,13.0404,49,15.3948,13.0404,57,16.4012,?,?,?,?,46
agricola,3,19,92,33,2,283,1,22,1,258,104155,1882,106037,389209,112889,135,311,8,57,103417,1154409,130,1,1967,2219821,0.066091,1128.53,17075.5,0.007692,89,14.5462,16.1522,69,14.5462,12.4968,377488,17075.5,51478,507408,13584.3,62661.7,17,0.130769,1.48525,16,0.123077,1.39789,35,0.269231,3.05787,16,0.123077,1.39789,301,165256,991092,0.166741,0.001821,21072,367.932,0.174062,21456,364.977,0.174062,113856,1550.14,0.435156,116544,1539.8,0.174062,?,?,?,?,?,?,?,?,?,?,?,?,5164,8,5164,41,1,45,40,40,90,1054,11.7111,45,1,44,11.7111,44,13.7113,11.7111,52,14.7986,?,?,?,?,41
agricola,3,19,90,33,2,277,1,22,1,258,51102,1785,52887,189604,56558,140,308,6,40,50382,550195,135,1,2111,1029228,0.063951,487.555,7623.91,0.007407,91,15.0296,16.428,74,15.0296,12.8904,170783,7623.91,22606.9,227787,6193.88,27487.7,19,0.140741,1.62919,18,0.133333,1.54344,40,0.296296,3.42988,18,0.133333,1.54344,298,88631,503635,0.175983,0.003362,13978,197.415,0.213572,14114,202.221,0.213572,68867,828.145,0.512573,69819,865.932,0.213572,?,?,?,?,?,?,?,?,?,?,?,?,10604,8,11756,46,1,50,45,44,99,1291,13.0404,49,1,49,13.0404,49,15.3948,13.0404,57,16.4012,?,?,?,?,47
grounded-strips-caldera,2,1,0,1105,1,39,4,11525,1,81209,12370,0,12370,78367,7592,1055,2119,114,228,10145,217026,976,4,32866,1063188,0.029696,32.3492,1089.33,0.004098,962,30.2469,69.64,896,30.2469,53.4413,59651,1089.33,4335.68,19680,836.607,3232.95,962,1.36988,31.5342,17220,40.3832,720.581,59651,78.2377,1945.1,17220,40.3832,720.581,1961,25033,299565,0.083565,0.078337,1352,12.5067,0.143894,1352,12.5067,0.143894,14319,105.956,177.677,14319,105.956,0.143894,278,8497,3,-5,0.420863,1.143891,0,0.333333,0.471405,0,0,19,2097,75,2097,20,3,11,9,5,32,80,2.5,14,3,15,2.5,15,3.16228,2.5,13,3.74166,?,?,?,?,17
petri-net-alignment,2,3,522,4,1,4,268,771,1,2095,2861,0,2861,3664,824,269,791,1,255,771,5824,269,268,1133,2584,0.237423,2.28067,9.60595,0.996283,231,4.2119,13.8815,267,4.2119,18.5138,762,9.60595,48.453,815,9.60595,58.0026,231,4.20818,13.8825,508,6.57621,30.7261,762,8.66171,46.0989,508,6.57621,30.7261,790,2046,4570,0.447702,0.386119,270,2.86617,0.091117,270,2.86617,0.091117,794,6.29037,0.182233,794,6.29037,0.091117,790,771,1.468504,-118,-0.149367,4.197705,-1,0.011194,0.161227,6.488959,26.380028,649533,4984,259,4984,371,3,375,272,254,649,38049,58.6271,117,158,374,58.6271,254,75,58.6271,254,75.1598,10,0,269,4,371
