domain, requirements, types, objects, predicates, functions, init, goal, actions, use_min_cost_metric, generated_rules, relevant_atoms, auxiliary_atoms, final_queue_length, total_queue_pushes, effect_conditions_simplified, translator_variables, translator_facts, translator_mutex_groups, translator_total_mutex_groups_size, translator_operators, translator_task_size, numberVariablesCG, highLevelVariablesCG, totalEdgesCG, totalWeightCG, veRatio, weRatio, wvRatio, hvRatio, inputEdgeCGMax, inputEdgeCGAvg, inputEdgeCGStd, outputEdgeCGMax, outputEdgeCGAvg, outputEdgeCGStd, inputWeightCGMax, inputWeightCGAvg, inputWeightCGStd, outputWeightCGMax, outputWeightCGAvg, outputWeightCGStd, inputEdgeHVMax, inputEdgeHVAvg, inputEdgeHVStd, outputEdgeHVMax, outputEdgeHVAvg, outputEdgeHVStd, inputWeightHVMax, inputWeightHVAvg, inputWeightHVStd, outputWeightHVMax, outputWeightHVAvg, outputWeightHVStd, numberVariablesDTG, totalEdgesDTG, totalWeigthDTG, edVaRatioDTG, weEdRatioDTG, inputEdgeDTGMax, inputEdgeDTGAvg, inputEdgeDTGStd, outputEdgeDTGMax, outputEdgeDTGAvg, outputEdgeDTGStd, inputWeightDTGMax, inputWeightDTGAvg, inputWeightDTGStd, outputWeightDTGMax, outputWeightDTGAvg, outputWeightDTGStd, num_relevant_facts, num_actions, h_max, h_ff, h_ff_ratio, rp_fact_balance_min, rp_fact_balance_avg, rp_fact_balance_var, rp_goal_balance_min, rp_goal_balance_avg, rp_goal_balance_var, balance_Ratio, Unbalance_Ratio, Balance_Distorsion, Additive, Causal_graph, Context-enhanced_additive, FF, Goal_count, Landmark_count, Landmark-cut, Max, n_landmarks, numberEdges, edVaratioLand, numberFatherNodes, numberChildrenNodes, nodosbetween, avginput, maxinput, stdinput, avgoutput, maxoutput, stdoutput, blackVariables, blackRootVariables, redBlackVariables, allpairsvaluesconnected, allvaluesconnectedgoal, blackstronglpyarents, Maximaleffectsblack, Hred-black
caldera-split,2,19,238,56,1,280,10,21,1,359,44224,33732,77956,756226,1760,929,1991,29,839,39927,504919,708,10,16892,988928,0.041913,58.5442,1396.79,0.014124,707,17.4054,56.9421,586,17.4054,39.7023,142585,1396.79,9944.34,221793,1345.68,14100.8,707,1.30367,26.6763,221793,313.331,8329.6,142585,202.129,5354.86,221793,313.331,8329.6,1549,177881,1080976,0.164556,0.008708,21339,27.3391,92.5278,17894,27.3391,87.968,141116,171.999,584.217,107498,171.999,87.968,1350,40939,17,59,3.470588,-28,0.042963,1.71086,0,3,9,0.025644,0.276937,2765,?,?,?,?,?,?,?,?,124,696,5.6129,43,9,72,5.6129,70,10.9545,5.6129,32,8.30662,?,?,?,?,?,?,?,?
agricola,3,19,100,33,2,300,2,22,1,258,179870,2165,182035,670708,197124,157,368,9,72,179057,1991460,152,2,2634,3818032,0.057707,1449.52,25118.6,0.013158,102,16.7105,18.4678,84,16.7105,13.9268,651661,25118.6,81440,862733,20154.4,98469.2,102,0.822368,8.44105,285,2.01974,23.0972,651661,4287.57,52682.5,285,2.01974,23.0972,358,290659,1738245,0.167214,0.001232,37282,550.58,2.23903,37947,548.495,2.23903,204077,2280.23,6.30816,208732,2273.98,2.23903,?,?,?,?,?,?,?,?,?,?,?,?,?,?,42024,18,44102,62,2,67,52,52,131,1979,15.1069,62,2,67,15.1069,65,19.0526,15.1069,68,19.3391,?,?,?,?,?,?,?,62
nurikabe,2,4,170,13,0,699,14,4,0,39,37794,5472,43266,894648,73970,1532,3270,16,238,34667,805308,1532,14,26105,1981618,0.058686,75.9095,1293.48,0.009138,1530,17.0398,71.6521,302,17.0398,27.8961,373051,1293.48,13173.7,137296,1293.48,4031.94,0,0,0,2,0.018277,0.190314,0,0,0,2,0.018277,0.190314,3268,373130,2354748,0.158459,0.008758,34510,-9000,0.012766,34523,-9000,0.012766,240525,-9000,0.089363,240551,-9000,0.012766,4922,34667,24,145,6.041667,-8,0,0.504752,0,0,0,6.131445,5.51092,676,?,?,?,?,?,?,?,?,165,580,3.51515,57,14,94,3.51515,56,5.19615,3.51515,19,3.74166,?,?,?,?,?,?,?,?
organic-synthesis-split,3,34,76,1237,1,122,24,1252,1,6310,64993,283975,348968,452468,95864,3512,7024,0,0,59648,424293,2957,18,114711,406771,0.025778,3.54605,137.562,0.006087,1398,34.6354,93.4069,1336,34.6354,70.3678,13368,137.562,471.164,13299,125.175,541.484,482,0.226919,8.90233,5967,2.05208,109.713,13368,4.59993,245.793,5967,2.05208,109.713,5914,133693,454426,0.294202,0.044236,2446,22.6062,0.101109,2446,22.6062,0.101109,9370,66.0008,0.68938,9370,66.0008,0.101109,?,?,?,?,?,?,?,?,?,?,?,?,?,?,74124,20,74124,135,2,54,75,69,152,1218,8.01316,47,17,88,8.01316,41,11.1803,8.01316,88,15.3297,?,?,?,?,?,?,?,137
settlers,3,19,150,50,1,728,4,28,1,446,5352,18372,23724,265105,52904,2744,5548,16,92,1476,221352,2438,4,64446,397668,0.03783,6.17056,163.112,0.001641,1957,24.9865,123.145,175,24.9865,20.4633,23328,163.112,1048.95,1992,158.077,267.451,199,0.198934,5.95487,6,0.005742,0.156772,362,0.365053,10.8812,6,0.005742,0.156772,4936,88271,401007,0.220123,0.055919,248,18.0047,0.020244,248,18.0047,0.020244,1015,50.6743,0.040489,1015,50.6743,0.020244,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,42,74,1.7619,27,4,11,1.7619,14,2.44949,1.7619,12,3,?,?,?,?,?,?,?,73
snake,2,1,82,9,0,360,66,3,0,32,98563,2834,101397,504289,178779,438,1094,3,224,97390,1137692,438,66,170317,2339753,0.002572,13.7376,5341.9,0.150685,437,388.852,28.5696,437,388.852,113.639,484426,5341.9,30408,359274,5341.9,22798,433,65.1073,154.571,1648,225.308,544.233,8120,1079.59,2603.79,1648,225.308,544.233,1094,581816,2921569,0.199145,0.00188,51757,447.694,5.26784,51757,447.694,5.26784,288346,2181.45,25.052,288346,2181.45,5.26784,806,97390,10,26,2.6,-21,0.007444,1.684094,-5,0,0.6742,11.983191,33.269905,1468,36,36,36,28,5,9,10,10,84,34,0.404762,18,66,0,0.404762,5,1,0.404762,7,1.41421,?,?,?,?,?,?,?,27
spider,4,6,37,22,1,223,35,16,1,129,23830,22166,45996,152785,29978,497,1478,64,1052,21810,325229,494,35,40367,1080232,0.012238,26.7603,2186.7,0.07085,493,81.5385,87.1019,398,81.5385,69.8776,127795,2186.7,10357,104920,2185.88,7394.45,382,12.9899,60.6475,9785,315.194,1473.72,8619,257.767,1297.96,9785,315.194,1473.72,1472,150019,1463561,0.102503,0.009812,6346,117.47,35.6138,6346,117.003,35.6083,35269,951.416,226.59,35269,948.142,35.6083,1025,22488,19,95,5,-30,0.074146,2.040173,-1,1.114286,0.574279,38.379395,51.304874,6642,5745,292,5494,99,35,134,48,19,306,4060,13.268,162,6,138,13.268,144,21.0476,13.268,103,21.4476,?,?,?,?,?,?,?,100
caldera,4,19,130,31,0,102,6,8,0,285,47970,8176,56146,408776,0,461,922,0,0,40258,1043047,350,6,44227,4457792,0.007914,100.793,12736.5,0.017143,348,115.334,95.3964,231,115.334,61.6541,161188,12736.5,24260.7,43386,11536.2,15533.7,265,4.54286,34.398,6237,106.92,809.585,4627,79.32,600.601,6237,106.92,809.585,700,108219,1758346,0.061546,0.006468,2058,154.599,0.186548,2058,154.599,0.186548,27202,1968.94,0.373097,27202,1968.94,0.186548,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,63,199,3.15873,31,6,26,3.15873,30,5.09902,3.15873,18,5.38516,?,?,?,?,?,?,?,?
data-network,5,5,113,10,4,718,19,5,1,61,15044,24531,39575,64364,1939,583,1223,7,71,13819,84087,583,19,4059,54676,0.143631,13.4703,93.7839,0.03259,42,6.96226,6.24337,334,6.96226,24.9012,5149,93.7839,258.751,10332,93.7839,512.082,2,0.06518,0.355122,1,0.03259,0.177561,30,0.487136,3.03147,1,0.03259,0.177561,1223,26580,79618,0.333844,0.046012,4121,13.5804,0.020672,4121,13.5804,0.020672,12737,28.7039,0.041345,12737,28.7039,0.020672,941,13831,6,88,14.666667,-36,0.020191,1.488395,1,1,0,38.627865,32.852142,443,189,38,189,100,19,38,58,6,101,281,2.78218,54,19,28,2.78218,22,3.74166,2.78218,16,3.87298,12,0,583,0,0,0,1,100
caldera,4,19,267,31,0,346,8,8,0,285,1519145,54697,1573842,14469899,0,835,1670,0,0,191962,5087670,580,8,112944,23083939,0.005135,204.384,39799.9,0.013793,578,173.205,143.098,351,173.205,94.305,973034,39799.9,73717,213750,35507.2,61609,411,5.54483,46.8911,26874,324.341,2826.4,15251,202.538,1713.05,26874,324.341,2826.4,1160,435762,7211409,0.060427,0.002662,5832,375.657,0.37306,5832,375.657,0.37306,82568,4472.64,0.766846,82568,4472.64,0.37306,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,374,4.15556,44,8,38,4.15556,44,8.66025,4.15556,22,5.83095,?,?,?,?,?,?,?,?
settlers,3,19,188,50,1,790,9,28,1,446,4324,15154,19478,328495,36618,2262,4552,16,60,738,154029,2070,9,46550,276280,0.044468,5.93512,133.469,0.004348,1491,21.5618,105.726,93,21.5618,11.617,16000,133.469,786.868,996,130.47,143.223,272,0.763768,12.912,4,0.009179,0.156695,508,1.55314,25.1292,4,0.009179,0.156695,4168,61521,280705,0.219166,0.067749,161,14.809,0.010984,161,14.809,0.010984,664,47.3967,0.021969,664,47.3967,0.010984,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,74,132,1.78378,47,9,18,1.78378,25,3.16228,1.78378,11,2.82843,?,?,?,?,?,?,?,73
settlers,3,19,159,50,1,691,6,28,1,446,3742,12358,16100,204061,29922,1866,3760,16,60,738,126054,1678,6,38286,225192,0.043828,5.88184,134.203,0.003576,1194,21.68,94.0679,93,21.68,12.5713,13132,134.203,714.662,996,130.517,152.87,224,0.34267,8.0189,6,0.011919,0.228695,412,0.712753,15.5617,6,0.011919,0.228695,3384,50011,227491,0.219837,0.067665,165,14.8389,0.024398,165,14.8389,0.024398,676,44.8508,0.048795,676,44.8508,0.024398,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,50,98,1.96,30,6,14,1.96,16,2.82843,1.96,12,3,?,?,?,?,?,?,?,73
grounded-strips-caldera,2,1,0,450,1,45,3,3352,1,16033,2555,0,2555,9933,831,191,562,78,329,1561,24757,126,3,5586,91924,0.022556,16.4561,729.556,0.02381,125,33.8968,22.8816,73,33.8968,17.3342,7727,729.556,999.166,2662,557.119,603.53,125,1.81746,12.8015,2662,36.3175,274.918,7727,73.5397,692.575,2662,36.3175,274.918,432,4155,41350,0.100484,0.103971,444,14.8094,2.2588,444,14.6785,2.2588,3052,56.4294,15.5412,3052,54.7151,2.2588,230,2506,5,11,2.2,-4,0.291304,1.07841,2,2.5,0.5,0,0,42,1398,32,1398,11,2,13,8,5,35,75,2.14286,15,2,18,2.14286,17,2.82843,2.14286,18,3.87298,?,?,?,?,?,?,?,11
spider,4,6,46,22,1,320,44,16,1,129,46053,40447,86500,289530,60820,706,2149,81,1579,43021,619531,704,44,75553,1960736,0.009318,25.9518,2785.14,0.0625,703,107.203,116.083,583,107.203,106.117,238991,2785.14,15865.5,195744,2784.52,10817.4,561,15.5298,80.4838,15322,412.403,2101.98,13530,336.875,1874.6,15322,412.403,2101.98,2145,290727,2796815,0.103949,0.007378,12114,153.948,49.9811,12114,153.477,49.9773,68295,1283.13,323.058,68295,1279.84,49.9773,1497,44087,17,155,9.117647,-42,0.058784,2.22376,-1,1.409091,0.65081,49.82151,69.633995,6882,4560,286,4036,157,44,162,50,17,381,2650,6.95538,197,37,147,6.95538,184,20.6882,6.95538,51,9.48683,?,?,?,?,?,?,?,157
agricola,3,19,104,33,2,428,1,22,1,258,381601,2605,384206,1423849,411874,132,362,12,122,380632,4218213,127,1,1882,8059126,0.067481,4282.21,63457.7,0.007874,89,14.3307,16.4862,63,14.3307,12.1591,1430600,63457.7,198256,1947320,50062,234585,16,0.125984,1.41417,14,0.110236,1.2374,30,0.23622,2.65157,14,0.110236,1.2374,352,557842,3396453,0.164243,0.000631,89421,1160.71,0.044019,90621,1159.51,0.044019,518059,5442.82,0.088037,526459,5439.2,0.044019,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2668,8,3084,40,1,40,37,36,81,838,10.3457,41,1,39,10.3457,39,12.083,10.3457,47,13.1909,?,?,?,?,?,?,?,40
caldera,4,19,267,31,0,346,8,8,0,285,1519145,54697,1573842,14469899,0,835,1670,0,0,191962,5087670,580,8,112944,23083939,0.005135,204.384,39799.9,0.013793,578,173.205,143.098,351,173.205,94.305,973034,39799.9,73717,213750,35507.2,61609,411,5.54483,46.8911,26874,324.341,2826.4,15251,202.538,1713.05,26874,324.341,2826.4,1160,435762,7211409,0.060427,0.002662,5832,375.657,0.37306,5832,375.657,0.37306,82568,4472.64,0.766846,82568,4472.64,0.37306,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,90,374,4.15556,44,8,38,4.15556,44,8.66025,4.15556,22,5.83095,?,?,?,?,?,?,?,?
settlers,3,19,143,50,1,710,3,28,1,446,5181,16819,22000,214920,50013,2558,5176,16,92,1530,209384,2219,3,59335,378859,0.037398,6.38508,170.734,0.001352,1771,25.1266,116.759,177,25.1266,21.2921,22160,170.734,1049.02,2112,164.935,297.647,182,0.153673,4.53878,4,0.004507,0.127292,328,0.281208,8.25507,4,0.004507,0.127292,4498,80901,367007,0.220434,0.055599,250,18.1107,0.01061,250,18.1107,0.01061,1024,51.4351,0.021219,1024,51.4351,0.01061,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,35,53,1.51429,24,3,8,1.51429,10,1.41421,1.51429,11,2.82843,?,?,?,?,?,?,?,73
grounded-strips-flashfill,2,1,0,3392,1,138,2,30528,1,83143,33772,0,33772,82801,16494,3365,6736,1335,2670,28878,218805,3365,2,59932,462949,0.056147,7.72457,137.578,0.000594,3041,17.8104,98.1359,2634,17.8104,78.3617,42202,137.578,1159.44,11694,137.578,600.144,3041,0.903715,52.4155,11694,3.48767,201.562,40564,12.0547,699.171,11694,3.48767,201.562,6736,43348,371249,0.116763,0.155394,3328,6.43933,0,3328,6.43933,0,18311,23.5956,0.077552,18311,23.5956,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,66,12,66,18,1,10,10,8,22,38,1.72727,16,1,5,1.72727,6,1,1.72727,17,3.60555,?,?,?,?,?,?,?,20
termes,2,3,22,7,0,71,17,7,0,52,1484,4855,6339,7732,226,17,108,16,106,1112,6639,17,16,103,3902,0.165049,37.8835,229.529,0.941176,16,6.05882,3.5392,16,6.05882,3.5392,854,229.529,173.506,1356,229.529,397.261,15,5.11765,2.82598,1274,149.765,282.683,426,179.294,87.9811,1274,149.765,282.683,108,1532,5422,0.282553,0.070496,64,9.04412,1.82615,64,9.04412,1.82615,192,27.0882,5.47845,192,27.0882,1.82615,108,1112,8,33,4.125,-25,0,3.431877,-1,1.5,6.103278,9.178057,15.928058,431,250,21,136,44,3,22,16,8,39,91,2.33333,8,15,16,2.33333,17,3,2.33333,12,3,1,0,17,0,0,0,0,42
flashfill,5,9,25,153,1,32,1,378,1,3259,18677,10134,28811,199421,6054,1666,3340,58,119,16878,224142,1665,1,17087,311385,0.097443,18.2235,187.018,0.000601,1664,10.2348,68.8691,1395,10.2348,44.0912,67882,187.018,2065.15,9990,115.018,509.522,0,0,0,36,0.021622,0.881993,0,0,0,36,0.021622,0.881993,3338,15988,88333,0.180997,0.208782,2818,4.7951,0.073477,2818,4.7951,0.073477,12691,21.583,0.330648,12691,21.583,0.073477,?,?,?,?,?,?,?,?,?,?,?,?,?,?,81,11,81,24,1,8,12,8,28,68,2.42857,18,1,9,2.42857,10,2.23607,2.42857,21,4.24264,?,?,?,?,?,?,?,21
settlers,3,19,179,50,1,763,8,28,1,446,4162,14356,18518,285607,34728,2154,4336,16,60,738,146144,1966,8,44244,261888,0.044435,5.91918,133.209,0.004069,1410,21.5326,102.449,93,21.5326,11.8522,15196,133.209,765.67,996,130.055,145.193,257,0.620041,11.9681,6,0.012716,0.230751,478,1.1999,22.6573,6,0.012716,0.230751,3960,58371,266291,0.2192,0.067842,163,14.7913,0.022542,163,14.7913,0.022542,669,45.3048,0.045084,669,45.3048,0.022542,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,63,129,2.04762,40,8,15,2.04762,21,3.4641,2.04762,12,3.31662,?,?,?,?,?,?,?,73
settlers,3,19,199,50,1,832,10,28,1,446,4571,16199,20770,379586,40645,2396,4820,16,60,776,170719,2209,10,49515,311815,0.044613,6.29738,141.157,0.004527,1591,21.5591,109.226,95,21.5591,11.4644,17829,141.157,855.327,1076,138.223,159.721,288,0.78995,14.1907,6,0.012675,0.222791,540,1.56904,27.2982,6,0.012675,0.222791,4446,66117,303199,0.218065,0.067244,167,14.9111,0.021267,167,14.9111,0.021267,703,47.3908,0.042534,703,47.3908,0.021267,?,?,?,?,?,?,?,?,?,?,?,?,?,?,289,24,289,77,8,27,45,12,80,237,2.9625,47,10,23,2.9625,28,6,2.9625,15,4.3589,?,?,?,?,?,?,?,73
grounded-strips-caldera,2,1,0,1206,1,75,4,15957,1,63833,15382,0,15382,53647,5712,1079,2167,114,228,7189,131734,984,4,33043,575418,0.029779,17.4142,584.774,0.004065,968,29.9411,69.0333,898,29.9411,53.4457,32043,584.774,2224.45,13074,454.869,1662.31,968,1.35671,31.5602,13074,20.7337,438.222,32043,36.8699,1023.81,13074,20.7337,438.222,1977,17770,169415,0.10489,0.111255,1560,8.8479,1.5764,1560,8.8479,1.5764,21948,51.9294,173.42,21948,51.9294,1.5764,341,12817,9,17,1.888889,-4,0.307918,1.051,0,0.333333,0.471405,0,0,80,6313,80,6313,19,3,11,14,9,46,128,2.78261,20,5,21,2.78261,21,3.60555,2.78261,19,4.79583,?,?,?,?,?,?,?,23
