@relation problem

@attribute domain string
@attribute task_name string
@attribute requirements numeric
@attribute types numeric
@attribute objects numeric
@attribute predicates numeric
@attribute functions numeric
@attribute init numeric
@attribute goal numeric
@attribute actions numeric
@attribute axioms numeric
@attribute use_min_cost_metric numeric
@attribute generated_rules numeric
@attribute relevant_atoms numeric
@attribute auxiliary_atoms numeric
@attribute final_queue_length numeric
@attribute total_queue_pushes numeric
@attribute implied_effects_removed numeric
@attribute effect_conditions_simplified numeric
@attribute implied_preconditions_added numeric
@attribute translator_variables numeric
@attribute translator_derived_variables numeric
@attribute translator_facts numeric
@attribute translator_mutex_groups numeric
@attribute translator_total_mutex_groups_size numeric
@attribute translator_operators numeric
@attribute translator_task_size numeric
@attribute numberVariablesCG numeric
@attribute highLevelVariablesCG numeric
@attribute totalEdgesCG numeric
@attribute totalWeightCG numeric
@attribute veRatio numeric
@attribute weRatio numeric
@attribute wvRatio numeric
@attribute hvRatio numeric
@attribute inputEdgeCGMax numeric
@attribute inputEdgeCGAvg numeric
@attribute inputEdgeCGStd numeric
@attribute outputEdgeCGMax numeric
@attribute outputEdgeCGAvg numeric
@attribute outputEdgeCGStd numeric
@attribute inputWeightCGMax numeric
@attribute inputWeightCGAvg numeric
@attribute inputWeightCGStd numeric
@attribute outputWeightCGMax numeric
@attribute outputWeightCGAvg numeric
@attribute outputWeightCGStd numeric
@attribute inputEdgeHVMax numeric
@attribute inputEdgeHVAvg numeric
@attribute inputEdgeHVStd numeric
@attribute outputEdgeHVMax numeric
@attribute outputEdgeHVAvg numeric
@attribute outputEdgeHVStd numeric
@attribute inputWeightHVMax numeric
@attribute inputWeightHVAvg numeric
@attribute inputWeightHVStd numeric
@attribute outputWeightHVMax numeric
@attribute outputWeightHVAvg numeric
@attribute outputWeightHVStd numeric
@attribute numberVariablesDTG numeric
@attribute totalEdgesDTG numeric
@attribute totalWeigthDTG numeric
@attribute edVaRatioDTG numeric
@attribute weEdRatioDTG numeric
@attribute weVaRatioDTG numeric
@attribute inputEdgeDTGMax numeric
@attribute inputEdgeDTGAvg numeric
@attribute inputEdgeDTGStd numeric
@attribute outputEdgeDTGMax numeric
@attribute outputEdgeDTGAvg numeric
@attribute outputEdgeDTGStd numeric
@attribute inputWeightDTGMax numeric
@attribute inputWeightDTGAvg numeric
@attribute inputWeightDTGStd numeric
@attribute outputWeightDTGMax numeric
@attribute outputWeightDTGAvg numeric
@attribute outputWeightDTGStd numeric
@attribute no numeric
@attribute file string
@attribute num_relevant_facts numeric
@attribute num_actions numeric
@attribute h_max numeric
@attribute h_ff numeric
@attribute h_ff_ratio numeric
@attribute rp_fact_balance_min numeric
@attribute rp_fact_balance_avg numeric
@attribute rp_fact_balance_var numeric
@attribute rp_goal_balance_min numeric
@attribute rp_goal_balance_avg numeric
@attribute rp_goal_balance_var numeric
@attribute balance_Ratio numeric
@attribute Unbalance_Ratio numeric
@attribute Balance_Distorsion numeric
@attribute Additive numeric
@attribute Blind numeric
@attribute Causal_graph numeric
@attribute Context-enhanced_additive numeric
@attribute FF numeric
@attribute Goal_count numeric
@attribute Landmark_count numeric
@attribute Landmark-cut numeric
@attribute Max numeric
@attribute n_landmarks numeric
@attribute numberEdges numeric
@attribute edVaratioLand numeric
@attribute numberFatherNodes numeric
@attribute numberChildrenNodes numeric
@attribute nodosbetween numeric
@attribute avginput numeric
@attribute maxinput numeric
@attribute stdinput numeric
@attribute avgoutput numeric
@attribute maxoutput numeric
@attribute stdoutput numeric
@attribute blackVariables numeric
@attribute blackRootVariables numeric
@attribute redBlackVariables numeric
@attribute allpairsvaluesconnected numeric
@attribute allvaluesconnectedgoal numeric
@attribute blackstronglpyarents numeric
@attribute Maximaleffectsblack  numeric
@attribute Hred-black numeric
@attribute  nameDomain2 string
@attribute  nameFile2 string
@data
etipp,printjob,2,8,41,12,1,61,42,23,0,1,211,703,964,1667,2332,0,211,0,162,0,394,7,84,316,2763,71,42, 733, 2098, 0.0968622, 2.86221, 29.5493, 0.591549, 42, 4.46479, 6.86455, 14, 4.46479, 3.31378, 294, 29.5493, 43.2776,98, 21.493, 26.7049, 5, 0.788732, 1.46235, 24, 7.64789, 8.92867, 41, 7.22535, 12.4563, 24, 7.64789,8.92867,212, 327, 1048, 0.312023, 0.648318, 1, 12, 1.48122, 0, 12, 1.48122, 0, 33, 2.69249,0.0585033, 33,2.69249, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p27.pddl, 239, 316, 14, 50, 3.571429, -1, 0.083682, 0.449669, 0, 0.500000, 0.500000, 23.094933, 0.000000, 0,616,1,504,522,74,21,77,50,14,147,887,6.03401,52,29,66,6.03401,58,10.7238,6.03401,65,11.1355,7,0,71,0,0,0,2,66,allfeatures-parcprinter-strips08,all-p27.pddl
upp,printjob,2,8,49,12,1,45,30,23,0,1,212,541,666,1207,1542,0,111,0,109,0,298,5,90,181,1691,59,30, 490, 1199, 0.120408, 2.44694, 20.322, 0.508475, 30, 4.71186, 5.49283, 20, 4.71186, 4.90952, 160, 20.322, 28.9953,74, 14.5932, 19.1171, 5, 0.949153, 1.59898, 18, 5.88136, 7.26516, 29, 5.33898, 9.04154, 18, 5.88136,7.26516,193, 206, 629, 0.327504, 0.936893, 1, 16, 0.848455, 0, 14, 0.848455, 0, 39, 1.2991,0.0639912, 31,1.2991, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p05.pddl, 194, 181, 12, 45, 3.750000, -2, 0.139175, 0.647128, 0, 0.633333, 0.706321, 15.480662, 0.386740, 71,296,1,251,265,47,15,53,32,12,101,489,4.84158,43,25,33,4.84158,30,7.48331,4.84158,44,8.544,?,?,?,?,?,?,?,47,allfeatures-parcprinter-strips08,all-p05.pddl
upp,printjob,2,8,43,12,1,21,12,23,0,1,212,266,272,538,620,0,21,0,40,0,112,2,36,53,506,32,12, 150, 257, 0.213333, 1.71333, 8.03125, 0.375, 13, 3.6875, 3.4227, 20, 3.6875, 4.47519, 32, 8.03125, 8.31596,44, 6.375, 10.1327, 5, 0.6875, 1.42385, 12, 2.46875, 3.91299, 13, 1.75, 3.72492, 12, 2.46875,3.91299,94, 91, 267, 0.340824, 1.03297, 1, 16, 0.76011, 0, 14, 0.76011, 0, 39, 1.09559,0.0856262, 31,1.09559, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p02.pddl, 74, 53, 9, 19, 2.111111, -2, 0.243243, 0.731729, 0, 0.666667, 0.745356, 6.584906, 0.226415, 21,70,1,61,63,18,6,24,15,9,48,154,3.20833,22,10,16,3.20833,13,3.60555,3.20833,22,5.2915,?,?,?,?,?,?,?,18,allfeatures-parcprinter-strips08,all-p02.pddl
upp,printjob,2,8,55,12,1,69,48,23,0,1,212,912,1060,1972,2716,0,273,0,214,0,556,8,144,369,3488,86,48, 986, 2825, 0.0872211, 2.86511, 32.8488, 0.55814, 48, 5.09302, 7.36053, 20, 5.09302, 5.00843, 384, 32.8488, 58.5002,104, 22.814, 27.6479, 5, 1.04651, 1.64887, 27, 9.24419, 10.8809, 45, 9.09302, 14.337, 27, 9.24419,10.8809,292, 321, 991, 0.323915, 0.909657, 1, 16, 0.881327, 0, 14, 0.881327, 0, 39, 1.37483,0.0532895, 31,1.37483, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p08.pddl, 350, 369, 15, 71, 4.733333, -2, 0.102857, 0.591118, 0, 0.625000, 0.695971, 25.292685, 0.476965, 145,666,1,558,574,71,24,82,47,15,154,945,6.13636,64,40,50,6.13636,49,10.3441,6.13636,66,11.9164,?,?,?,?,?,?,?,75,allfeatures-parcprinter-strips08,all-p08.pddl
upp,printjob,2,8,53,12,1,61,42,23,0,1,212,843,938,1781,2600,0,309,0,175,0,462,7,126,365,3409,77,42, 836, 3089, 0.0921053, 3.69498, 40.1169, 0.545455, 42, 5.02597, 6.9319, 20, 5.02597, 4.98302, 560, 40.1169, 72.8833,122, 28.3766, 34.302, 5, 0.961039, 1.59904, 45, 10.8831, 16.5121, 56, 10.3896, 19.1482, 45, 10.8831,16.5121,259, 285, 882, 0.323129, 0.908772, 1, 16, 0.888083, 0, 14, 0.888083, 0, 39, 1.38579,0.0562403, 31,1.38579, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p07.pddl, 294, 365, 14, 67, 4.785714, -2, 0.112245, 0.620774, 0, 0.571429, 0.622700, 30.043833, 0.460274, 141,522,1,438,462,68,21,70,42,14,134,760,5.67164,57,35,42,5.67164,38,8.60233,5.67164,61,11.4455,?,?,?,?,?,?,?,69,allfeatures-parcprinter-strips08,all-p07.pddl
etipp,printjob,2,8,38,12,1,46,30,23,0,1,211,493,694,1187,1582,0,121,0,108,0,266,5,60,196,1713,54,30, 465, 1200, 0.116129, 2.58065, 22.2222, 0.555556, 31, 4.27778, 5.64839, 14, 4.27778, 3.27966, 180, 22.2222, 29.3886,80, 16.8889, 21.2731, 5, 0.722222, 1.43264, 20, 5.81481, 6.69736, 32, 5.03704, 9.27554, 20, 5.81481,6.69736,158, 236, 753, 0.313413, 0.669492, 1, 12, 1.41358, 0, 12, 1.41358, 0, 33, 2.58951,0.0667814, 33,2.58951, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p25.pddl, 163, 196, 12, 37, 3.083333, -1, 0.098160, 0.498030, 0, 0.533333, 0.498888, 16.234695, 0.153061, 8,370,1,310,320,55,16,58,36,12,111,575,5.18018,42,21,48,5.18018,43,9.05539,5.18018,47,8.3666,5,0,54,0,0,0,2,50,allfeatures-parcprinter-strips08,all-p25.pddl
etipp,printjob,2,8,58,12,1,53,36,36,0,1,350,866,1410,2276,3200,0,289,0,135,0,384,6,126,415,3433,69,36, 762, 2778, 0.0905512, 3.64567, 40.2609, 0.521739, 36, 5.62319, 7.60073, 21, 5.62319, 5.1333, 216, 40.2609, 44.7702,150, 30.058, 39.6053, 5, 0.695652, 1.39673, 40, 10.913, 13.4958, 64, 9.73913, 18.1137, 40, 10.913,13.4958,252, 547, 1787, 0.3061, 0.460695, 1, 25, 2.39027, 0.118641, 23, 2.39027, 0.118641, 69, 4.72567,0.296603, 63,4.72567, 0.118641,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p16.pddl, 255, 415, 12, 53, 4.416667, -1, 0.098039, 0.575817, 0, 0.611111, 0.678142, 22.065060, 5.320482, 118,416,1,404,404,55,18,65,49,12,132,714,5.40909,49,25,58,5.40909,53,9.74679,5.40909,54,9.48683,6,0,69,0,0,0,2,50,allfeatures-parcprinter-strips08,all-p16.pddl
upp,printjob,2,8,59,12,1,85,60,23,0,1,212,1146,1316,2462,3332,0,321,0,304,0,768,10,180,461,4426,104,60, 1370, 3389, 0.0759124, 2.47372, 32.5865, 0.576923, 60, 5.22115, 8.34929, 20, 5.22115, 5.04014, 600, 32.5865, 66.3161,104, 22.0769, 27.8687, 5, 1.11538, 1.6831, 24, 8.43269, 9.34876, 44, 8.84615, 13.4813, 24, 8.43269,9.34876,358, 396, 1224, 0.323529, 0.90404, 1, 16, 0.885747, 0.0485576, 14, 0.885747, 0.0485576, 39, 1.38744,0.0485576, 31,1.38744, 0.0485576,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p10.pddl, 474, 461, 17, 85, 5.000000, -2, 0.088608, 0.555522, 0, 0.650000, 0.726292, 26.045557, 0.520607, 186,996,1,831,865,84,30,103,57,17,191,1322,6.92147,78,50,63,6.92147,65,12.49,6.92147,79,13.8564,?,?,?,?,?,?,?,93,allfeatures-parcprinter-strips08,all-p10.pddl
etipp,printjob,2,8,29,12,1,13,6,23,0,1,211,151,154,305,358,0,13,0,16,0,42,1,12,28,235,15,4, 47, 124, 0.319149, 2.6383, 8.26667, 0.266667, 7, 2.8, 1.93907, 11, 2.8, 2.7374, 27, 8.26667, 6.9519,43, 7.73333, 11.7613, 4, 0.333333, 1.01105, 20, 2.4, 5.27636, 14, 1.2, 3.56277, 20, 2.4,5.27636,40, 50, 147, 0.340136, 0.8, 1, 11, 1.16667, 0, 11, 1.16667, 0, 29, 2.01111,0.120493, 29,2.01111, 0,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p21.pddl, 27, 28, 8, 8, 1.000000, -1, 0.296296, 0.656298, 0, 0.750000, 0.433013, 3.285714, 0.000000, 0,40,1,36,36,12,3,14,8,8,29,82,2.82759,14,3,12,2.82759,10,2.64575,2.82759,14,4.12311,1,0,15,0,0,0,2,10,allfeatures-parcprinter-strips08,all-p21.pddl
etipp,printjob,2,8,48,12,1,86,60,23,0,1,211,1168,1372,2540,3770,0,421,0,308,0,716,10,120,571,5133,99,60, 1405, 4195, 0.0704626, 2.98577, 42.3737, 0.606061, 61, 4.59596, 8.49946, 14, 4.59596, 3.29346, 660, 42.3737, 77.6608,134, 29.3232, 36.9143, 5, 0.79798, 1.47696, 36, 10.3636, 12.4863, 59, 10.8687, 18.1685, 36, 10.3636,12.4863,298, 465, 1498, 0.310414, 0.64086, 1, 12, 1.50673, 0.0497443, 12, 1.50673, 0.0497443, 33, 2.78283,0.0497443, 33,2.78283, 0.0497443,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p30.pddl, 418, 571, 17, 72, 4.235294, -1, 0.062201, 0.410341, 0, 0.516667, 0.499722, 34.443073, 0.105079, 13,1130,1,910,956,106,31,109,71,17,207,1503,7.26087,73,41,93,7.26087,84,13.4536,7.26087,91,15.0333,10,0,99,0,0,0,2,98,allfeatures-parcprinter-strips08,all-p30.pddl
etipp,printjob,2,8,31,12,1,21,12,23,0,1,211,216,288,504,618,0,29,0,32,0,84,2,24,59,497,26,12, 121, 283, 0.214876, 2.33884, 10.8846, 0.461538, 12, 3.61538, 3.22343, 14, 3.61538, 3.21148, 33, 10.8846, 10.5222,50, 9.5, 13.5682, 5, 0.615385, 1.33235, 20, 3.23077, 5.3945, 17, 2, 4.53194, 20, 3.23077,5.3945,72, 99, 308, 0.321429, 0.727273, 1, 12, 1.26282, 0.0942866, 12, 1.26282, 0.0942866, 33, 2.23077,0.0942866, 33,2.23077, 0.0942866,  1, /home/isabel/Escritorio/seq-sat-Features/dominios_learning/seq-sat/parcprinter-strips08/problems/p22.pddl, 54, 59, 9, 15, 1.666667, -1, 0.185185, 0.579721, 0, 0.500000, 0.500000, 6.220339, 0.000000, 0,96,1,84,84,22,6,25,15,9,50,177,3.54,20,9,21,3.54,16,4.69042,3.54,22,5.09902,2,0,26,0,0,0,2,21,allfeatures-parcprinter-strips08,all-p22.pddl
